ano,mes,partido,regiao,parlamentar,descricao,valor_documento,valor_glosa,valor_liquido
2020,2,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,150.0,0.0,150.0
2020,2,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,242.91,0.0,242.91
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,200.0,0.0,200.0
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,240.03,0.0,240.03
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,203.32,0.0,203.32
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,141.04,0.0,141.04
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,255.0,0.0,255.0
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,280.27,0.0,280.27
2020,2,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,170.76,0.0,170.76
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,265.24,0.0,265.24
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,270.87,0.0,270.87
2020,2,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,279.39,0.0,279.39
2020,1,PDT,Nordeste,P004,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",15000.0,0.0,15000.0
2020,1,PDT,Nordeste,P004,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",10000.0,0.0,10000.0
2020,1,PDT,Nordeste,P004,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2800.0,0.0,2800.0
2020,1,PDT,Nordeste,P004,TELEFONIA,329.08,8.21,320.87
2020,1,PDT,Nordeste,P004,SERVIÇOS POSTAIS,45.59,0.0,45.59
2020,1,PDT,Nordeste,P004,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,8500.0,0.0,8500.0
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,577.06,0.0,577.06
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,577.06,0.0,577.06
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,577.06,0.0,577.06
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,577.06,0.0,577.06
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,765.06,0.0,765.06
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,341.57,0.0,341.57
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,496.57,0.0,496.57
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,680.57,0.0,680.57
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,420.57,0.0,420.57
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,3.0,0.0,3.0
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,1115.46,0.0,1115.46
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,1038.9,0.0,1038.9
2020,1,PDT,Nordeste,P004,Emissão Bilhete Aéreo,2476.36,0.0,2476.36
2020,1,PODE,Nordeste,P005,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,408.04,0.0,408.04
2020,2,PODE,Nordeste,P005,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,627.33,0.0,627.33
2020,2,PODE,Nordeste,P005,COMBUSTÍVEIS E LUBRIFICANTES.,230.66,0.0,230.66
2020,2,PODE,Nordeste,P005,COMBUSTÍVEIS E LUBRIFICANTES.,238.55,0.0,238.55
2020,3,PODE,Nordeste,P005,COMBUSTÍVEIS E LUBRIFICANTES.,231.59,0.0,231.59
2020,1,PODE,Nordeste,P005,COMBUSTÍVEIS E LUBRIFICANTES.,230.07,0.0,230.07
2020,1,PODE,Nordeste,P005,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2600.0,0.0,2600.0
2020,2,PODE,Nordeste,P005,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2600.0,0.0,2600.0
2020,1,PODE,Nordeste,P005,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,7000.0,0.0,7000.0
2020,2,PODE,Nordeste,P005,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,7000.0,0.0,7000.0
2020,1,PODE,Nordeste,P005,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,6654.0,0.0,6654.0
2020,1,PODE,Nordeste,P005,TELEFONIA,952.07,21.65,930.42
2020,2,PODE,Nordeste,P005,TELEFONIA,1013.43,43.45,969.98
2020,1,PODE,Nordeste,P005,TELEFONIA,882.35,28.7,853.65
2020,1,PODE,Nordeste,P005,SERVIÇOS POSTAIS,14.2,0.0,14.2
2020,1,PODE,Nordeste,P005,SERVIÇOS POSTAIS,95.0,0.0,95.0
2020,1,PODE,Nordeste,P005,SERVIÇOS POSTAIS,95.0,0.0,95.0
2020,2,PODE,Nordeste,P005,SERVIÇOS POSTAIS,95.0,0.0,95.0
2020,2,PODE,Nordeste,P005,SERVIÇOS POSTAIS,95.0,0.0,95.0
2020,2,PODE,Nordeste,P005,SERVIÇOS POSTAIS,95.0,0.0,95.0
2020,1,PODE,Nordeste,P005,SERVIÇOS POSTAIS,68.99,0.0,68.99
2020,1,PODE,Nordeste,P005,Emissão Bilhete Aéreo,891.57,0.0,891.57
2020,1,PT,Sudeste,P006,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3353.77,0.0,3353.77
2020,2,PT,Sudeste,P006,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3300.0,0.0,3300.0
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,98.01,0.0,98.01
2020,2,PT,Sudeste,P006,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
